NU_INSCRICAO,NU_NOTA_MT
73ff9fcc02f0a99919906c942c2e1a1042cdcf98,423.77501565123
71a95f9f1b91a82c65ad94abbdf9f54e6066f968,428.49941525607176
b38a03232f43b11c9d0788abaf060f7366053b6d,582.922803075011
70b682d9a3636be23f6120fa9d6b164eb3c6002d,471.6520499106377
715494628a50142ce8cb17191cfe6d0f3cae0934,564.1750253228165
e656d6bad65c93fb2880f1eba5037008c8e75774,474.2289862193022
465cd2a6907fb37d9d8ad3c065f0e2dabdba9b13,564.8431505827746
11539e86171bf07d3a36f09377d7f54ebcc8406a,421.41597441032786
043c544a2104aa8a9849f1a703a08d37a2f16839,453.12069514234264
76ba050e64ad100b856f0eaabd8f539d5c7dd185,462.0106303438166
8b7c167ea7b55c8168ec60c3851b1b598a8fbd11,461.1931049958508
db4da599aab5bb08dce27094a35fd3e36cd0abce,452.6269526305847
940aede382ccb332fab15d413217695ec44ca765,459.4147724453271
9ad714b116da76d878dd399d187fccc2dd13dd63,560.7885841067537
dd34464a4d780b12a089347ad580418ac57a3055,525.9110760340873
f837a4cb05a5fd59d20138182f5e8c721eadd584,460.3213619051702
fbfa8cde21a692b51fb86342110b4a334a0fcfdb,456.0460650809716
ca8477c8493b09f34d17bb287f9bacf2dd744c32,464.18538157696065
8b0c675d7fde14953668269d378c588f0df0498b,470.4757804172253
051c4f04fcbe385e1b3964aeb87f0a41d7f203d0,382.84016699292863
3d203727f27abd83b71732d88d8cb1cc099f363b,420.37789012492163
d30d31c8ff45094e9a992c63d4a6f68b245a341a,539.5862119159501
c0c6a803c271a955a7085a59cd3d4d43bcf7a1a6,451.5337349719349
cbc301183dec912f3513ca766bf03dd565f3a38f,484.03463660270825
856aa14bcd11bd289a3b970aab0ce1b166f2c50f,630.7558198079803
11282da1ee78c8db45a041db4c744e33df489df0,440.5567648485441
03c67f683a415c2ea09b582248bd4cb08528c19d,591.5779610757952
046e844fb06a07ba30b41521f0065a8d9c6e5024,387.10080185518086
b296bc595a212a2f89a35470a4bdbb3bfc3f7f1a,481.3666529416591
153eebe4d270fe850d2ede7f53cbc81a6f4ddf91,484.33429190017296
a4e821c6f16fdae0a26cbbb7018b75812dfd074b,449.2634112095749
f66c2e5ff22a95fa532e78c7c4bf1d145247211d,415.34013033300226
17f0dd5abd53dea135ffd020e8e8e0761b3a56aa,538.5941503597176
fbbd23fcfb37cf90b8c1f58eafcab62771f3cd71,485.62637172441157
a99286ac4fdce6f63b59569b2d8ed85a5c911ea3,535.4805762995502
f8d4f9a26c5f2023c33701a8888f9c02513a02c7,497.0178284801171
9785b7d9ca2e8dccfe60ecc0cd2abe1ff51906be,471.4590123737123
59bfa081e020013410d9f60f91813964ba749bb2,423.4019657263857
f5e069ee3bc95998464e8ff5da048b7f999921ed,426.5818980636355
e02240b518016d03a1b5bcc6d0a37b7a527ea93d,560.3387604519055
664f44258212a1f7e4086f2b4845d586c543fa3f,477.340254667329
265cd7befa74a9f2a198fc57baec9858075f8419,442.39393410344354
6f9ac44919bbd204e0ef15185388fd2d4bc61253,510.6913037929855
78de1ee60b55766cc3eba4089e36c57139b66ebd,461.62690133279216
24550edb10f283ef4e953fd6a8fedbfa211bd456,454.29164576479405
1e61a474acdc043eb39a89c17fab34bd2ea1a940,443.81412497513867
940af68ded6af2875708611051aa7ff3f134d80b,505.0871925312054
e7ec3258f3b280c1ddf452d107fbdc9fb5a6b72e,502.4900866160266
c76ddf6e9f80984e901b12f9462a3cf029bea290,518.5309802554059
7d39df837488ca3fa6e512fd9e20ec7753b4c36d,460.1957529299843
65bba36aa15f0c4ef3562ea56c125d931bc4ed63,504.72053864294656
1045c54b5ea9f6e08454ec57c47e4ce0e33190bd,484.0969883507605
92823d467a2ced9529801e0e8a94802dd88f0c17,427.2513533700179
9d0fbf9bf1bb039de65a6d0e143c9a791c62b941,578.3800612050218
413cbb38b2e2522f8167ffb9daeac1347b281393,487.47538246645837
68985fad004092956a4b4ce94dd53dc76d07eaf7,461.31095149138815
bdca9aeb19521675af15f2c28d86f6bebc45a834,471.2468442903379
b65b19d42b7a4b644fe9f99366dcb37b120862d9,413.35978200248655
eda898aa8ec465cbac70de72ead0c6d688e5f95a,448.59359542725645
5357b6c09be4c7f3829b72f80de846a9228253cb,470.81537782624827
8d5c4481d736f6ce27976e400f4245bf10757608,404.063235047141
226b53de56347e3f9b52c8e0ab811fb82e96b3fb,479.70210209812626
