NU_INSCRICAO,NU_NOTA_MT
73ff9fcc02f0a99919906c942c2e1a1042cdcf98,418.08688599856197
71a95f9f1b91a82c65ad94abbdf9f54e6066f968,475.88614836889906
b38a03232f43b11c9d0788abaf060f7366053b6d,560.0441502491936
70b682d9a3636be23f6120fa9d6b164eb3c6002d,9.115812140077345
715494628a50142ce8cb17191cfe6d0f3cae0934,562.9273873820886
e656d6bad65c93fb2880f1eba5037008c8e75774,470.44083586889906
465cd2a6907fb37d9d8ad3c065f0e2dabdba9b13,568.8630470433352
11539e86171bf07d3a36f09377d7f54ebcc8406a,404.36638411826743
043c544a2104aa8a9849f1a703a08d37a2f16839,479.73922974856197
76ba050e64ad100b856f0eaabd8f539d5c7dd185,449.53435286826743
8b7c167ea7b55c8168ec60c3851b1b598a8fbd11,-3.124775014721303
db4da599aab5bb08dce27094a35fd3e36cd0abce,-5.733426501438028
940aede382ccb332fab15d413217695ec44ca765,478.1578339886045
9ad714b116da76d878dd399d187fccc2dd13dd63,511.31583586889917
dd34464a4d780b12a089347ad580418ac57a3055,518.3880130354403
f837a4cb05a5fd59d20138182f5e8c721eadd584,522.348604748562
fbfa8cde21a692b51fb86342110b4a334a0fcfdb,-3.547445381100914
ca8477c8493b09f34d17bb287f9bacf2dd744c32,2.7841833794882174
8b0c675d7fde14953668269d378c588f0df0498b,2.7841833794882174
051c4f04fcbe385e1b3964aeb87f0a41d7f203d0,390.03825911826743
3d203727f27abd83b71732d88d8cb1cc099f363b,419.57907349856197
d30d31c8ff45094e9a992c63d4a6f68b245a341a,130.89790491569963
c0c6a803c271a955a7085a59cd3d4d43bcf7a1a6,-3.456253781889295
cbc301183dec912f3513ca766bf03dd565f3a38f,512.4877108688992
856aa14bcd11bd289a3b970aab0ce1b166f2c50f,632.9379893066184
11282da1ee78c8db45a041db4c744e33df489df0,477.5142496400773
03c67f683a415c2ea09b582248bd4cb08528c19d,598.8943036010374
046e844fb06a07ba30b41521f0065a8d9c6e5024,391.35099211889906
b296bc595a212a2f89a35470a4bdbb3bfc3f7f1a,477.32123343243387
153eebe4d270fe850d2ede7f53cbc81a6f4ddf91,-0.3816310008063475
a4e821c6f16fdae0a26cbbb7018b75812dfd074b,-5.733426501438028
f66c2e5ff22a95fa532e78c7c4bf1d145247211d,397.2008027386045
17f0dd5abd53dea135ffd020e8e8e0761b3a56aa,537.4877108688992
fbbd23fcfb37cf90b8c1f58eafcab62771f3cd71,497.59102524919365
a99286ac4fdce6f63b59569b2d8ed85a5c911ea3,508.84883774919365
f8d4f9a26c5f2023c33701a8888f9c02513a02c7,476.0689371400773
9785b7d9ca2e8dccfe60ecc0cd2abe1ff51906be,492.4406341889756
59bfa081e020013410d9f60f91813964ba749bb2,417.14396086889906
f5e069ee3bc95998464e8ff5da048b7f999921ed,381.76091536826743
e02240b518016d03a1b5bcc6d0a37b7a527ea93d,571.3507591182674
664f44258212a1f7e4086f2b4845d586c543fa3f,473.60489836889906
265cd7befa74a9f2a198fc57baec9858075f8419,412.7451208794882
6f9ac44919bbd204e0ef15185388fd2d4bc61253,494.05706685498416
78de1ee60b55766cc3eba4089e36c57139b66ebd,453.55779036826743
24550edb10f283ef4e953fd6a8fedbfa211bd456,-8.899240881732593
1e61a474acdc043eb39a89c17fab34bd2ea1a940,420.65544661826743
940af68ded6af2875708611051aa7ff3f134d80b,510.34843525978283
e7ec3258f3b280c1ddf452d107fbdc9fb5a6b72e,486.859349030961
c76ddf6e9f80984e901b12f9462a3cf029bea290,514.6524305672076
